txn_id,user_id,txn_date,txn_year,txn_month,txn_type,txn_amount,revenue_percent,revenue
40,3,2025-11-06,2025,11,CARD,3377.37,0.012,40.528439999999996
41,3,2025-10-03,2025,10,CARD,4487.8,0.012,53.8536
42,3,2026-01-20,2026,1,UPI,146.44,0.005,0.7322
43,3,2025-11-26,2025,11,UPI,2079.64,0.005,10.3982
44,3,2025-12-15,2025,12,CARD,3622.5,0.012,43.47
45,3,2025-12-25,2025,12,CARD,2631.5,0.012,31.578
46,3,2026-01-10,2026,1,CARD,900.43,0.012,10.805159999999999
47,3,2025-12-20,2025,12,CARD,1843.59,0.012,22.123079999999998
48,3,2025-11-19,2025,11,UPI,3253.39,0.005,16.26695
49,3,2025-12-31,2025,12,CARD,2317.45,0.012,27.8094
50,3,2025-12-29,2025,12,CARD,473.38,0.012,5.68056
51,3,2025-10-09,2025,10,UPI,3042.5,0.005,15.2125
52,3,2025-12-29,2025,12,CARD,2311.82,0.012,27.741840000000003
53,3,2025-11-07,2025,11,CARD,1545.95,0.012,18.5514
54,3,2025-12-21,2025,12,UPI,4883.33,0.005,24.41665
55,3,2025-10-06,2025,10,UPI,4183.03,0.005,20.91515
56,3,2025-12-05,2025,12,UPI,4984.66,0.005,24.9233
57,3,2025-11-28,2025,11,CARD,2916.5,0.012,34.998
58,3,2025-11-21,2025,11,CARD,3139.92,0.012,37.67904
59,3,2025-10-22,2025,10,UPI,4904.74,0.005,24.523699999999998
60,3,2026-01-27,2026,1,CARD,2688.78,0.012,32.26536
61,3,2025-11-20,2025,11,CARD,1085.03,0.012,13.02036
62,3,2025-11-03,2025,11,CARD,590.68,0.012,7.088159999999999
63,4,2025-11-20,2025,11,CARD,2525.03,0.012,30.30036
64,4,2026-01-19,2026,1,CARD,2672.12,0.012,32.06544
65,4,2026-01-17,2026,1,CARD,3979.22,0.012,47.75064
66,4,2025-12-15,2025,12,CARD,3910.14,0.012,46.92168
67,4,2025-12-27,2025,12,UPI,3035.87,0.005,15.17935
68,4,2025-11-16,2025,11,UPI,4094.83,0.005,20.47415
69,4,2025-11-27,2025,11,CARD,1430.64,0.012,17.16768
70,4,2026-01-02,2026,1,CARD,4711.04,0.012,56.53248
71,4,2025-12-06,2025,12,CARD,3785.59,0.012,45.427080000000004
72,4,2025-12-16,2025,12,UPI,143.32,0.005,0.7166
73,4,2025-10-22,2025,10,CARD,2213.98,0.012,26.56776
74,4,2025-12-31,2025,12,UPI,2787.26,0.005,13.936300000000001
75,4,2026-01-17,2026,1,CARD,1712.72,0.012,20.55264
76,4,2026-01-10,2026,1,CARD,2335.67,0.012,28.02804
77,4,2025-10-22,2025,10,CARD,2410.92,0.012,28.931040000000003
78,4,2025-10-07,2025,10,CARD,1007.87,0.012,12.09444
79,4,2025-12-05,2025,12,UPI,3489.27,0.005,17.44635
80,4,2026-01-26,2026,1,UPI,2351.02,0.005,11.7551
81,4,2025-10-26,2025,10,CARD,3562.23,0.012,42.74676
82,5,2025-11-14,2025,11,CARD,3523.49,0.012,42.28188
83,5,2025-10-24,2025,10,UPI,1193.88,0.005,5.9694
84,5,2025-12-16,2025,12,UPI,2643.43,0.005,13.21715
85,5,2026-01-04,2026,1,CARD,85.34,0.012,1.02408
86,5,2025-10-18,2025,10,UPI,2394.93,0.005,11.974649999999999
87,5,2025-11-30,2025,11,CARD,1960.26,0.012,23.52312
88,5,2025-11-07,2025,11,UPI,2513.8,0.005,12.569
89,5,2025-11-21,2025,11,CARD,1761.85,0.012,21.1422
90,5,2026-01-20,2026,1,UPI,2989.25,0.005,14.946250000000001
91,5,2026-01-19,2026,1,UPI,1597.69,0.005,7.98845
92,5,2025-10-07,2025,10,UPI,1748.04,0.005,8.7402
93,5,2025-12-23,2025,12,UPI,3913.22,0.005,19.5661
94,5,2026-01-07,2026,1,CARD,1328.26,0.012,15.93912
95,5,2025-11-16,2025,11,UPI,3850.5,0.005,19.2525
96,5,2025-12-03,2025,12,UPI,437.75,0.005,2.18875
97,5,2026-01-03,2026,1,CARD,572.51,0.012,6.87012
98,5,2025-11-16,2025,11,CARD,1509.22,0.012,18.11064
99,5,2025-12-21,2025,12,CARD,910.26,0.012,10.92312
100,6,2026-01-18,2026,1,CARD,448.83,0.012,5.38596
101,6,2025-10-02,2025,10,CARD,358.67,0.012,4.3040400000000005
102,6,2025-11-04,2025,11,UPI,720.34,0.005,3.6017
103,6,2025-11-01,2025,11,CARD,693.61,0.012,8.32332
104,6,2025-11-20,2025,11,CARD,3159.63,0.012,37.91556
105,6,2025-11-18,2025,11,CARD,3077.6,0.012,36.9312
106,6,2025-10-09,2025,10,UPI,2754.14,0.005,13.7707
107,6,2026-01-01,2026,1,UPI,3974.11,0.005,19.87055
108,6,2026-01-20,2026,1,UPI,2012.99,0.005,10.06495
109,6,2026-01-02,2026,1,CARD,363.01,0.012,4.35612
110,6,2025-12-25,2025,12,CARD,2347.6,0.012,28.1712
111,7,2025-12-14,2025,12,UPI,4651.8,0.005,23.259
112,7,2025-12-07,2025,12,UPI,3152.6,0.005,15.763
113,7,2025-12-22,2025,12,UPI,2227.85,0.005,11.13925
114,7,2025-11-03,2025,11,UPI,562.23,0.005,2.81115
115,7,2025-12-04,2025,12,CARD,2924.82,0.012,35.097840000000005
116,7,2025-11-07,2025,11,UPI,2243.06,0.005,11.2153
117,7,2026-01-06,2026,1,UPI,280.24,0.005,1.4012
118,7,2025-12-22,2025,12,CARD,4927.88,0.012,59.13456
119,7,2025-12-15,2025,12,CARD,2022.48,0.012,24.26976
120,7,2025-11-16,2025,11,UPI,1897.26,0.005,9.4863
121,7,2025-12-21,2025,12,CARD,2607.66,0.012,31.291919999999998
122,7,2026-01-13,2026,1,CARD,3084.13,0.012,37.00956
123,7,2025-10-25,2025,10,UPI,4770.66,0.005,23.8533
124,7,2026-01-07,2026,1,CARD,3380.69,0.012,40.56828
125,7,2025-10-23,2025,10,CARD,549.36,0.012,6.59232
126,7,2026-01-04,2026,1,UPI,444.58,0.005,2.2229
127,7,2025-11-18,2025,11,CARD,2500.61,0.012,30.007320000000004
128,7,2025-12-21,2025,12,CARD,1819.16,0.012,21.82992
129,7,2025-10-12,2025,10,UPI,2872.86,0.005,14.3643
130,7,2025-10-03,2025,10,CARD,580.12,0.012,6.9614400000000005
131,7,2025-12-03,2025,12,UPI,2127.17,0.005,10.635850000000001
132,7,2025-11-01,2025,11,UPI,2725.24,0.005,13.626199999999999
133,7,2025-11-14,2025,11,CARD,1327.54,0.012,15.93048
134,7,2025-10-27,2025,10,CARD,3219.97,0.012,38.63964
135,8,2026-01-20,2026,1,CARD,3162.04,0.012,37.94448
136,8,2025-12-19,2025,12,CARD,4339.79,0.012,52.07748
137,8,2025-10-13,2025,10,CARD,2884.76,0.012,34.61712
138,8,2025-11-27,2025,11,CARD,663.51,0.012,7.96212
139,8,2025-10-20,2025,10,UPI,3618.4,0.005,18.092000000000002
140,8,2025-10-23,2025,10,UPI,290.36,0.005,1.4518000000000002
141,8,2025-10-01,2025,10,CARD,2113.18,0.012,25.358159999999998
142,8,2025-11-17,2025,11,UPI,3200.85,0.005,16.00425
143,8,2025-10-18,2025,10,CARD,2840.01,0.012,34.08012
144,8,2026-01-07,2026,1,UPI,3620.61,0.005,18.10305
145,8,2025-12-05,2025,12,CARD,395.5,0.012,4.746
146,8,2026-01-29,2026,1,UPI,4958.83,0.005,24.794150000000002
147,8,2025-11-28,2025,11,CARD,2288.18,0.012,27.45816
148,8,2025-11-18,2025,11,UPI,139.56,0.005,0.6978
149,8,2026-01-18,2026,1,UPI,299.16,0.005,1.4958000000000002
150,8,2026-01-12,2026,1,CARD,1895.63,0.012,22.747560000000004
151,8,2025-10-19,2025,10,UPI,4969.95,0.005,24.84975
152,8,2025-11-06,2025,11,CARD,1949.63,0.012,23.395560000000003
153,8,2026-01-16,2026,1,CARD,2342.58,0.012,28.11096
154,8,2025-10-26,2025,10,UPI,2922.32,0.005,14.611600000000001
155,9,2026-01-17,2026,1,CARD,847.02,0.012,10.16424
156,9,2025-11-29,2025,11,CARD,690.3,0.012,8.2836
157,9,2025-11-22,2025,11,UPI,345.74,0.005,1.7287000000000001
158,9,2026-01-20,2026,1,CARD,2098.9,0.012,25.1868
159,9,2025-11-25,2025,11,UPI,3027.29,0.005,15.13645
160,9,2025-10-03,2025,10,CARD,1641.34,0.012,19.69608
161,9,2025-12-25,2025,12,UPI,2565.88,0.005,12.829400000000001
162,9,2026-01-06,2026,1,CARD,2505.8,0.012,30.0696
163,9,2025-11-07,2025,11,UPI,2271.16,0.005,11.3558
164,9,2026-01-06,2026,1,CARD,1876.24,0.012,22.51488
165,9,2026-01-08,2026,1,UPI,3620.76,0.005,18.103800000000003
166,9,2025-12-13,2025,12,CARD,2697.83,0.012,32.37396
167,9,2026-01-28,2026,1,UPI,3700.03,0.005,18.50015
168,9,2025-11-08,2025,11,UPI,4132.79,0.005,20.66395
169,9,2025-11-20,2025,11,CARD,1023.44,0.012,12.28128
170,10,2025-12-31,2025,12,UPI,160.0,0.005,0.8
171,10,2025-10-05,2025,10,CARD,1872.76,0.012,22.47312
172,10,2025-10-08,2025,10,UPI,4154.66,0.005,20.7733
173,10,2025-10-31,2025,10,UPI,2403.02,0.005,12.0151
174,10,2026-01-26,2026,1,UPI,3760.68,0.005,18.8034
175,10,2025-10-18,2025,10,UPI,1507.49,0.005,7.53745
176,10,2026-01-26,2026,1,CARD,2075.6,0.012,24.9072
177,10,2025-11-09,2025,11,UPI,2167.0,0.005,10.835
178,10,2025-12-30,2025,12,CARD,4453.43,0.012,53.44116
179,10,2025-11-10,2025,11,UPI,4470.8,0.005,22.354000000000003
180,10,2025-12-02,2025,12,UPI,4896.43,0.005,24.48215
181,10,2025-10-10,2025,10,CARD,4151.88,0.012,49.82256
182,10,2026-01-02,2026,1,UPI,717.77,0.005,3.58885
183,10,2025-11-25,2025,11,UPI,550.22,0.005,2.7511
184,10,2025-12-22,2025,12,UPI,3536.49,0.005,17.68245
185,10,2025-12-25,2025,12,CARD,2170.97,0.012,26.05164
186,10,2025-12-06,2025,12,UPI,238.8,0.005,1.1940000000000002
187,10,2025-12-28,2025,12,UPI,2156.01,0.005,10.780050000000001
188,10,2025-10-26,2025,10,CARD,1067.94,0.012,12.815280000000001
189,10,2025-11-30,2025,11,UPI,3491.17,0.005,17.45585
190,10,2025-12-01,2025,12,CARD,2657.36,0.012,31.888320000000004
191,11,2025-11-08,2025,11,CARD,864.12,0.012,10.36944
192,11,2025-10-23,2025,10,CARD,646.09,0.012,7.753080000000001
193,11,2026-01-14,2026,1,CARD,2010.59,0.012,24.12708
194,11,2025-10-18,2025,10,UPI,2104.63,0.005,10.523150000000001
195,11,2025-10-23,2025,10,UPI,2252.79,0.005,11.26395
196,11,2026-01-06,2026,1,UPI,4047.17,0.005,20.23585
197,11,2025-11-02,2025,11,UPI,1993.95,0.005,9.969750000000001
198,11,2025-11-15,2025,11,CARD,3322.92,0.012,39.87504
199,11,2026-01-02,2026,1,CARD,3717.79,0.012,44.61348
200,11,2025-10-08,2025,10,UPI,1508.48,0.005,7.542400000000001
201,11,2025-10-11,2025,10,CARD,2196.16,0.012,26.35392
202,11,2025-10-05,2025,10,CARD,4804.12,0.012,57.64944
203,11,2025-12-07,2025,12,UPI,3937.48,0.005,19.6874
204,11,2025-11-20,2025,11,CARD,3968.02,0.012,47.61624
205,11,2025-11-30,2025,11,UPI,1371.98,0.005,6.8599000000000006
206,11,2025-12-27,2025,12,UPI,2463.72,0.005,12.3186
207,11,2026-01-13,2026,1,CARD,1644.33,0.012,19.73196
208,11,2025-11-16,2025,11,UPI,3806.4,0.005,19.032
209,11,2026-01-25,2026,1,UPI,2854.23,0.005,14.27115
210,11,2025-10-19,2025,10,UPI,2839.97,0.005,14.19985
211,11,2025-11-24,2025,11,CARD,2560.21,0.012,30.72252
212,11,2025-12-20,2025,12,CARD,1701.01,0.012,20.41212
213,11,2025-10-23,2025,10,UPI,1014.56,0.005,5.0728
214,11,2025-11-21,2025,11,CARD,1370.22,0.012,16.44264
215,11,2025-11-11,2025,11,UPI,4103.13,0.005,20.51565
216,11,2025-10-20,2025,10,UPI,2233.86,0.005,11.169300000000002
217,12,2026-01-19,2026,1,UPI,1290.72,0.005,6.453600000000001
218,12,2025-12-21,2025,12,CARD,4704.25,0.012,56.451
219,12,2025-10-23,2025,10,UPI,1490.99,0.005,7.45495
220,12,2025-11-03,2025,11,CARD,2632.82,0.012,31.593840000000004
221,12,2026-01-27,2026,1,UPI,952.11,0.005,4.76055
222,12,2025-12-20,2025,12,CARD,2811.43,0.012,33.737159999999996
223,12,2025-12-14,2025,12,UPI,2639.0,0.005,13.195
224,12,2026-01-23,2026,1,UPI,2413.7,0.005,12.0685
225,12,2025-12-17,2025,12,UPI,4062.07,0.005,20.31035
226,12,2025-10-16,2025,10,CARD,4868.17,0.012,58.418040000000005
227,12,2025-12-28,2025,12,CARD,2813.46,0.012,33.761520000000004
228,12,2025-10-30,2025,10,CARD,3785.13,0.012,45.42156
229,12,2025-10-25,2025,10,CARD,917.15,0.012,11.0058
230,12,2025-11-09,2025,11,CARD,1025.05,0.012,12.3006
231,12,2025-11-27,2025,11,CARD,390.0,0.012,4.68
232,12,2025-10-03,2025,10,CARD,2279.52,0.012,27.35424
233,12,2026-01-17,2026,1,UPI,4716.79,0.005,23.58395
234,12,2026-01-29,2026,1,UPI,3642.83,0.005,18.21415
235,12,2026-01-10,2026,1,UPI,4551.9,0.005,22.7595
236,12,2025-12-20,2025,12,UPI,1648.57,0.005,8.24285
237,12,2025-10-28,2025,10,UPI,2985.64,0.005,14.9282
238,12,2025-12-13,2025,12,UPI,1258.58,0.005,6.2928999999999995
239,12,2025-11-07,2025,11,CARD,690.64,0.012,8.28768
240,12,2025-11-24,2025,11,CARD,3628.12,0.012,43.53744
241,12,2025-11-26,2025,11,CARD,757.79,0.012,9.09348
242,12,2025-10-15,2025,10,UPI,3039.97,0.005,15.19985
243,13,2025-12-16,2025,12,UPI,270.74,0.005,1.3537000000000001
244,13,2025-12-11,2025,12,UPI,3455.86,0.005,17.279300000000003
245,13,2025-12-22,2025,12,CARD,1576.99,0.012,18.92388
246,13,2025-12-03,2025,12,UPI,1183.55,0.005,5.91775
247,13,2025-11-15,2025,11,CARD,1603.99,0.012,19.247880000000002
248,13,2025-10-20,2025,10,UPI,839.56,0.005,4.1978
249,13,2025-12-12,2025,12,UPI,4153.27,0.005,20.766350000000003
250,13,2025-10-30,2025,10,CARD,2440.76,0.012,29.289120000000004
251,13,2025-12-14,2025,12,UPI,691.91,0.005,3.45955
252,13,2025-12-03,2025,12,CARD,822.05,0.012,9.8646
253,13,2025-12-25,2025,12,UPI,2338.82,0.005,11.6941
254,13,2025-10-22,2025,10,CARD,306.25,0.012,3.6750000000000003
255,13,2025-12-17,2025,12,CARD,191.56,0.012,2.29872
256,13,2025-12-22,2025,12,CARD,651.7,0.012,7.820400000000001
257,13,2025-11-20,2025,11,UPI,2515.21,0.005,12.57605
258,13,2025-12-01,2025,12,UPI,1096.81,0.005,5.48405
259,13,2026-01-18,2026,1,CARD,2994.61,0.012,35.935320000000004
260,13,2025-12-31,2025,12,UPI,2374.52,0.005,11.8726
261,13,2025-12-02,2025,12,UPI,1961.94,0.005,9.809700000000001
262,13,2025-11-13,2025,11,UPI,3396.76,0.005,16.983800000000002
263,13,2026-01-29,2026,1,CARD,1879.75,0.012,22.557000000000002
264,13,2025-10-30,2025,10,CARD,4955.67,0.012,59.46804
265,13,2025-12-21,2025,12,CARD,855.54,0.012,10.26648
266,13,2025-12-01,2025,12,UPI,4570.05,0.005,22.850250000000003
267,13,2025-11-25,2025,11,CARD,331.53,0.012,3.97836
268,13,2025-11-22,2025,11,CARD,3411.66,0.012,40.93992
269,13,2026-01-22,2026,1,CARD,851.04,0.012,10.21248
270,13,2025-10-12,2025,10,CARD,1402.35,0.012,16.8282
271,13,2025-10-10,2025,10,CARD,1762.93,0.012,21.155160000000002
272,14,2025-10-26,2025,10,CARD,3748.77,0.012,44.98524
273,14,2025-10-06,2025,10,CARD,2956.09,0.012,35.47308
274,14,2025-11-01,2025,11,CARD,1164.86,0.012,13.978319999999998
275,14,2025-11-06,2025,11,UPI,579.67,0.005,2.8983499999999998
276,14,2025-10-11,2025,10,CARD,2165.75,0.012,25.989
277,14,2025-12-23,2025,12,CARD,4480.52,0.012,53.76624
278,14,2025-12-20,2025,12,UPI,1411.71,0.005,7.05855
279,14,2025-12-20,2025,12,UPI,4458.1,0.005,22.2905
280,14,2025-12-04,2025,12,UPI,1765.42,0.005,8.8271
281,14,2025-12-27,2025,12,UPI,2832.78,0.005,14.163900000000002
282,14,2025-12-21,2025,12,UPI,1682.87,0.005,8.414349999999999
283,14,2025-10-10,2025,10,CARD,4759.2,0.012,57.1104
284,14,2026-01-21,2026,1,CARD,584.82,0.012,7.0178400000000005
285,14,2025-11-08,2025,11,CARD,1216.55,0.012,14.5986
286,14,2025-11-30,2025,11,UPI,1332.99,0.005,6.66495
287,14,2025-12-13,2025,12,UPI,2574.86,0.005,12.874300000000002
288,14,2026-01-15,2026,1,UPI,2140.29,0.005,10.70145
289,15,2025-10-05,2025,10,CARD,3954.81,0.012,47.45772
290,15,2026-01-15,2026,1,UPI,3368.86,0.005,16.8443
291,15,2026-01-17,2026,1,UPI,1721.36,0.005,8.6068
292,15,2025-11-07,2025,11,UPI,2560.54,0.005,12.8027
293,15,2025-11-11,2025,11,UPI,4207.68,0.005,21.038400000000003
294,15,2025-12-20,2025,12,CARD,629.38,0.012,7.55256
295,15,2026-01-20,2026,1,CARD,1606.27,0.012,19.27524
296,15,2025-12-07,2025,12,UPI,951.45,0.005,4.75725
297,15,2025-12-07,2025,12,CARD,4257.71,0.012,51.09252
298,15,2025-11-22,2025,11,UPI,4713.69,0.005,23.56845
299,15,2026-01-01,2026,1,CARD,2732.47,0.012,32.78964
300,15,2025-11-02,2025,11,CARD,1678.38,0.012,20.14056
301,15,2025-12-24,2025,12,CARD,3980.46,0.012,47.76552
302,15,2025-12-04,2025,12,CARD,3628.69,0.012,43.54428
303,15,2025-12-20,2025,12,CARD,1410.22,0.012,16.92264
304,15,2026-01-26,2026,1,UPI,4898.08,0.005,24.4904
305,15,2025-11-08,2025,11,UPI,199.95,0.005,0.9997499999999999
306,15,2025-12-09,2025,12,UPI,3995.15,0.005,19.97575
307,15,2025-11-25,2025,11,UPI,4135.9,0.005,20.679499999999997
308,15,2025-10-04,2025,10,UPI,4067.2,0.005,20.336
309,16,2025-12-01,2025,12,CARD,799.91,0.012,9.59892
310,16,2025-11-13,2025,11,CARD,1660.49,0.012,19.92588
311,16,2025-12-05,2025,12,CARD,333.05,0.012,3.9966000000000004
312,16,2026-01-02,2026,1,UPI,4227.68,0.005,21.1384
313,16,2025-11-26,2025,11,UPI,4154.06,0.005,20.770300000000002
314,16,2025-11-24,2025,11,CARD,1197.65,0.012,14.371800000000002
315,16,2026-01-25,2026,1,UPI,4440.06,0.005,22.200300000000002
316,16,2025-10-18,2025,10,CARD,4129.89,0.012,49.55868
317,16,2025-10-16,2025,10,CARD,2826.23,0.012,33.91476
318,16,2025-10-03,2025,10,UPI,930.34,0.005,4.6517
319,16,2026-01-15,2026,1,CARD,2668.91,0.012,32.02692
320,16,2025-10-18,2025,10,CARD,2614.94,0.012,31.37928
321,16,2026-01-26,2026,1,CARD,1412.41,0.012,16.94892
322,16,2026-01-02,2026,1,CARD,3920.78,0.012,47.04936
323,16,2025-10-06,2025,10,CARD,669.86,0.012,8.03832
324,16,2026-01-22,2026,1,CARD,608.74,0.012,7.30488
325,16,2025-10-21,2025,10,UPI,89.55,0.005,0.44775
326,16,2025-11-18,2025,11,UPI,4012.71,0.005,20.06355
327,16,2025-11-17,2025,11,UPI,4375.59,0.005,21.877950000000002
328,16,2025-11-22,2025,11,UPI,424.73,0.005,2.12365
329,16,2025-11-10,2025,11,UPI,4513.71,0.005,22.568550000000002
330,16,2025-12-28,2025,12,UPI,4744.86,0.005,23.7243
331,16,2025-11-08,2025,11,UPI,136.68,0.005,0.6834
332,16,2025-10-17,2025,10,UPI,4036.17,0.005,20.18085
333,16,2026-01-12,2026,1,CARD,3689.08,0.012,44.26896
334,16,2025-12-25,2025,12,UPI,4505.88,0.005,22.529400000000003
335,16,2025-12-07,2025,12,CARD,3106.52,0.012,37.278240000000004
336,17,2025-11-21,2025,11,UPI,1037.86,0.005,5.189299999999999
337,17,2025-11-28,2025,11,CARD,3595.2,0.012,43.1424
338,17,2025-11-05,2025,11,UPI,440.21,0.005,2.20105
339,17,2025-12-30,2025,12,UPI,4918.55,0.005,24.592750000000002
340,17,2025-10-14,2025,10,CARD,4797.25,0.012,57.567
341,17,2025-10-08,2025,10,CARD,3527.72,0.012,42.33264
342,17,2026-01-13,2026,1,CARD,3774.32,0.012,45.29184
343,17,2025-12-29,2025,12,UPI,505.38,0.005,2.5269
344,17,2025-11-20,2025,11,CARD,860.7,0.012,10.3284
345,17,2025-11-19,2025,11,UPI,4232.37,0.005,21.16185
346,17,2025-11-13,2025,11,CARD,3287.55,0.012,39.4506
347,17,2026-01-12,2026,1,UPI,965.49,0.005,4.82745
348,17,2025-12-02,2025,12,CARD,3484.72,0.012,41.81664
349,17,2025-10-16,2025,10,UPI,2022.2,0.005,10.111
350,17,2025-12-30,2025,12,CARD,1796.01,0.012,21.55212
351,17,2025-12-27,2025,12,UPI,3161.96,0.005,15.809800000000001
352,17,2025-10-19,2025,10,UPI,4381.82,0.005,21.9091
353,17,2025-10-19,2025,10,UPI,1514.4,0.005,7.572000000000001
354,17,2025-12-21,2025,12,CARD,981.0,0.012,11.772
355,17,2025-10-13,2025,10,UPI,177.1,0.005,0.8855
356,17,2025-10-15,2025,10,CARD,1302.14,0.012,15.625680000000001
357,17,2025-12-25,2025,12,CARD,349.14,0.012,4.18968
358,17,2025-12-20,2025,12,CARD,4367.39,0.012,52.408680000000004
359,17,2026-01-19,2026,1,CARD,2749.54,0.012,32.99448
360,17,2025-12-29,2025,12,UPI,3950.47,0.005,19.75235
361,17,2025-11-21,2025,11,CARD,872.61,0.012,10.47132
362,17,2025-10-03,2025,10,UPI,2444.92,0.005,12.2246
363,17,2025-10-28,2025,10,UPI,2316.18,0.005,11.5809
364,17,2025-10-29,2025,10,CARD,3012.29,0.012,36.14748
365,17,2025-10-26,2025,10,CARD,2114.2,0.012,25.3704
366,18,2026-01-29,2026,1,CARD,4474.4,0.012,53.6928
367,18,2025-12-01,2025,12,CARD,4833.44,0.012,58.001279999999994
368,18,2025-11-29,2025,11,UPI,560.21,0.005,2.80105
369,18,2025-10-31,2025,10,UPI,3509.96,0.005,17.5498
370,18,2025-10-25,2025,10,CARD,4931.91,0.012,59.18292
371,18,2025-11-30,2025,11,UPI,3343.3,0.005,16.7165
372,18,2026-01-02,2026,1,UPI,871.7,0.005,4.3585
373,18,2025-10-10,2025,10,CARD,1012.16,0.012,12.14592
374,18,2025-12-03,2025,12,CARD,1801.12,0.012,21.61344
375,18,2025-12-03,2025,12,UPI,922.73,0.005,4.61365
376,18,2025-12-26,2025,12,UPI,4614.79,0.005,23.07395
377,18,2025-12-03,2025,12,UPI,4039.85,0.005,20.19925
378,18,2025-11-22,2025,11,UPI,4488.63,0.005,22.44315
379,18,2025-12-18,2025,12,UPI,2416.51,0.005,12.082550000000001
380,18,2026-01-01,2026,1,UPI,2919.02,0.005,14.5951
381,18,2025-10-12,2025,10,CARD,3697.87,0.012,44.37444
382,18,2026-01-02,2026,1,CARD,2082.71,0.012,24.992520000000003
383,18,2025-11-19,2025,11,UPI,4078.8,0.005,20.394000000000002
384,18,2025-11-26,2025,11,UPI,138.12,0.005,0.6906
385,19,2025-11-22,2025,11,CARD,3646.08,0.012,43.75296
386,19,2025-12-15,2025,12,CARD,3606.01,0.012,43.27212
387,19,2025-11-05,2025,11,CARD,651.94,0.012,7.8232800000000005
388,19,2025-12-26,2025,12,CARD,2123.87,0.012,25.486439999999998
389,19,2025-11-16,2025,11,UPI,2373.47,0.005,11.86735
390,19,2025-12-03,2025,12,CARD,1166.37,0.012,13.99644
391,19,2025-11-01,2025,11,CARD,3510.02,0.012,42.12024
392,19,2025-12-24,2025,12,CARD,3137.12,0.012,37.64544
393,19,2026-01-28,2026,1,CARD,2011.64,0.012,24.139680000000002
394,19,2025-10-10,2025,10,UPI,3463.58,0.005,17.3179
395,20,2025-10-05,2025,10,UPI,1331.97,0.005,6.6598500000000005
396,20,2025-12-22,2025,12,UPI,63.89,0.005,0.31945
397,20,2025-11-13,2025,11,UPI,2104.28,0.005,10.521400000000002
398,20,2025-12-26,2025,12,UPI,2659.22,0.005,13.2961
399,20,2025-12-22,2025,12,CARD,957.5,0.012,11.49
400,20,2025-12-03,2025,12,CARD,829.94,0.012,9.959280000000001
401,20,2025-11-15,2025,11,UPI,2139.73,0.005,10.69865
402,20,2026-01-02,2026,1,CARD,3176.2,0.012,38.114399999999996
