txn_id,user_id,txn_date,txn_year,txn_month,txn_type,txn_amount,txn_status
51,3,2025-10-09,2025,10,UPI,3042.5,SUCCESS
52,3,2025-12-29,2025,12,CARD,2311.82,SUCCESS
53,3,2025-11-07,2025,11,CARD,1545.95,SUCCESS
54,3,2025-12-21,2025,12,UPI,4883.33,SUCCESS
55,3,2025-10-06,2025,10,UPI,4183.03,SUCCESS
56,3,2025-12-05,2025,12,UPI,4984.66,SUCCESS
57,3,2025-11-28,2025,11,CARD,2916.5,SUCCESS
58,3,2025-11-21,2025,11,CARD,3139.92,SUCCESS
59,3,2025-10-22,2025,10,UPI,4904.74,SUCCESS
60,3,2026-01-27,2026,1,CARD,2688.78,SUCCESS
61,3,2025-11-20,2025,11,CARD,1085.03,FAILED
62,3,2025-11-03,2025,11,CARD,590.68,SUCCESS
63,4,2025-11-20,2025,11,CARD,2525.03,SUCCESS
64,4,2026-01-19,2026,1,CARD,2672.12,SUCCESS
65,4,2026-01-17,2026,1,CARD,3979.22,FAILED
66,4,2025-12-15,2025,12,CARD,3910.14,SUCCESS
67,4,2025-12-27,2025,12,UPI,3035.87,FAILED
68,4,2025-11-16,2025,11,UPI,4094.83,SUCCESS
69,4,2025-11-27,2025,11,CARD,1430.64,SUCCESS
70,4,2026-01-02,2026,1,CARD,4711.04,SUCCESS
71,4,2025-12-06,2025,12,CARD,3785.59,SUCCESS
72,4,2025-12-16,2025,12,UPI,143.32,SUCCESS
73,4,2025-10-22,2025,10,CARD,2213.98,SUCCESS
74,4,2025-12-31,2025,12,UPI,2787.26,SUCCESS
75,4,2026-01-17,2026,1,CARD,1712.72,SUCCESS
76,4,2026-01-10,2026,1,CARD,2335.67,SUCCESS
77,4,2025-10-22,2025,10,CARD,2410.92,SUCCESS
78,4,2025-10-07,2025,10,CARD,1007.87,SUCCESS
79,4,2025-12-05,2025,12,UPI,3489.27,SUCCESS
80,4,2026-01-26,2026,1,UPI,2351.02,SUCCESS
81,4,2025-10-26,2025,10,CARD,3562.23,SUCCESS
82,5,2025-11-14,2025,11,CARD,3523.49,SUCCESS
83,5,2025-10-24,2025,10,UPI,1193.88,SUCCESS
84,5,2025-12-16,2025,12,UPI,2643.43,SUCCESS
85,5,2026-01-04,2026,1,CARD,85.34,SUCCESS
86,5,2025-10-18,2025,10,UPI,2394.93,SUCCESS
87,5,2025-11-30,2025,11,CARD,1960.26,SUCCESS
88,5,2025-11-07,2025,11,UPI,2513.8,SUCCESS
89,5,2025-11-21,2025,11,CARD,1761.85,SUCCESS
90,5,2026-01-20,2026,1,UPI,2989.25,SUCCESS
91,5,2026-01-19,2026,1,UPI,1597.69,SUCCESS
92,5,2025-10-07,2025,10,UPI,1748.04,SUCCESS
93,5,2025-12-23,2025,12,UPI,3913.22,SUCCESS
94,5,2026-01-07,2026,1,CARD,1328.26,SUCCESS
95,5,2025-11-16,2025,11,UPI,3850.5,SUCCESS
96,5,2025-12-03,2025,12,UPI,437.75,SUCCESS
97,5,2026-01-03,2026,1,CARD,572.51,SUCCESS
98,5,2025-11-16,2025,11,CARD,1509.22,FAILED
99,5,2025-12-21,2025,12,CARD,910.26,SUCCESS
100,6,2026-01-18,2026,1,CARD,448.83,SUCCESS
101,6,2025-10-02,2025,10,CARD,358.67,SUCCESS
102,6,2025-11-04,2025,11,UPI,720.34,SUCCESS
103,6,2025-11-01,2025,11,CARD,693.61,SUCCESS
104,6,2025-11-20,2025,11,CARD,3159.63,SUCCESS
105,6,2025-11-18,2025,11,CARD,3077.6,SUCCESS
106,6,2025-10-09,2025,10,UPI,2754.14,FAILED
107,6,2026-01-01,2026,1,UPI,3974.11,SUCCESS
108,6,2026-01-20,2026,1,UPI,2012.99,FAILED
109,6,2026-01-02,2026,1,CARD,363.01,SUCCESS
110,6,2025-12-25,2025,12,CARD,2347.6,SUCCESS
111,7,2025-12-14,2025,12,UPI,4651.8,SUCCESS
112,7,2025-12-07,2025,12,UPI,3152.6,FAILED
113,7,2025-12-22,2025,12,UPI,2227.85,SUCCESS
114,7,2025-11-03,2025,11,UPI,562.23,SUCCESS
115,7,2025-12-04,2025,12,CARD,2924.82,SUCCESS
116,7,2025-11-07,2025,11,UPI,2243.06,SUCCESS
117,7,2026-01-06,2026,1,UPI,280.24,SUCCESS
118,7,2025-12-22,2025,12,CARD,4927.88,SUCCESS
119,7,2025-12-15,2025,12,CARD,2022.48,SUCCESS
120,7,2025-11-16,2025,11,UPI,1897.26,SUCCESS
121,7,2025-12-21,2025,12,CARD,2607.66,SUCCESS
122,7,2026-01-13,2026,1,CARD,3084.13,SUCCESS
123,7,2025-10-25,2025,10,UPI,4770.66,FAILED
124,7,2026-01-07,2026,1,CARD,3380.69,SUCCESS
125,7,2025-10-23,2025,10,CARD,549.36,SUCCESS
126,7,2026-01-04,2026,1,UPI,444.58,SUCCESS
127,7,2025-11-18,2025,11,CARD,2500.61,SUCCESS
128,7,2025-12-21,2025,12,CARD,1819.16,SUCCESS
129,7,2025-10-12,2025,10,UPI,2872.86,FAILED
130,7,2025-10-03,2025,10,CARD,580.12,SUCCESS
131,7,2025-12-03,2025,12,UPI,2127.17,SUCCESS
132,7,2025-11-01,2025,11,UPI,2725.24,SUCCESS
133,7,2025-11-14,2025,11,CARD,1327.54,SUCCESS
134,7,2025-10-27,2025,10,CARD,3219.97,SUCCESS
135,8,2026-01-20,2026,1,CARD,3162.04,SUCCESS
136,8,2025-12-19,2025,12,CARD,4339.79,SUCCESS
137,8,2025-10-13,2025,10,CARD,2884.76,SUCCESS
138,8,2025-11-27,2025,11,CARD,663.51,SUCCESS
139,8,2025-10-20,2025,10,UPI,3618.4,SUCCESS
140,8,2025-10-23,2025,10,UPI,290.36,SUCCESS
141,8,2025-10-01,2025,10,CARD,2113.18,SUCCESS
142,8,2025-11-17,2025,11,UPI,3200.85,SUCCESS
143,8,2025-10-18,2025,10,CARD,2840.01,SUCCESS
144,8,2026-01-07,2026,1,UPI,3620.61,SUCCESS
145,8,2025-12-05,2025,12,CARD,395.5,SUCCESS
146,8,2026-01-29,2026,1,UPI,4958.83,SUCCESS
147,8,2025-11-28,2025,11,CARD,2288.18,SUCCESS
148,8,2025-11-18,2025,11,UPI,139.56,SUCCESS
149,8,2026-01-18,2026,1,UPI,299.16,SUCCESS
150,8,2026-01-12,2026,1,CARD,1895.63,FAILED
151,8,2025-10-19,2025,10,UPI,4969.95,SUCCESS
152,8,2025-11-06,2025,11,CARD,1949.63,SUCCESS
153,8,2026-01-16,2026,1,CARD,2342.58,SUCCESS
154,8,2025-10-26,2025,10,UPI,2922.32,SUCCESS
155,9,2026-01-17,2026,1,CARD,847.02,SUCCESS
156,9,2025-11-29,2025,11,CARD,690.3,SUCCESS
157,9,2025-11-22,2025,11,UPI,345.74,SUCCESS
158,9,2026-01-20,2026,1,CARD,2098.9,FAILED
159,9,2025-11-25,2025,11,UPI,3027.29,SUCCESS
160,9,2025-10-03,2025,10,CARD,1641.34,FAILED
161,9,2025-12-25,2025,12,UPI,2565.88,FAILED
162,9,2026-01-06,2026,1,CARD,2505.8,SUCCESS
163,9,2025-11-07,2025,11,UPI,2271.16,SUCCESS
164,9,2026-01-06,2026,1,CARD,1876.24,FAILED
165,9,2026-01-08,2026,1,UPI,3620.76,SUCCESS
166,9,2025-12-13,2025,12,CARD,2697.83,SUCCESS
167,9,2026-01-28,2026,1,UPI,3700.03,SUCCESS
168,9,2025-11-08,2025,11,UPI,4132.79,SUCCESS
169,9,2025-11-20,2025,11,CARD,1023.44,SUCCESS
170,10,2025-12-31,2025,12,UPI,160.0,SUCCESS
171,10,2025-10-05,2025,10,CARD,1872.76,SUCCESS
172,10,2025-10-08,2025,10,UPI,4154.66,SUCCESS
173,10,2025-10-31,2025,10,UPI,2403.02,SUCCESS
174,10,2026-01-26,2026,1,UPI,3760.68,SUCCESS
175,10,2025-10-18,2025,10,UPI,1507.49,SUCCESS
176,10,2026-01-26,2026,1,CARD,2075.6,SUCCESS
177,10,2025-11-09,2025,11,UPI,2167.0,SUCCESS
178,10,2025-12-30,2025,12,CARD,4453.43,SUCCESS
179,10,2025-11-10,2025,11,UPI,4470.8,SUCCESS
180,10,2025-12-02,2025,12,UPI,4896.43,SUCCESS
181,10,2025-10-10,2025,10,CARD,4151.88,SUCCESS
182,10,2026-01-02,2026,1,UPI,717.77,SUCCESS
183,10,2025-11-25,2025,11,UPI,550.22,SUCCESS
184,10,2025-12-22,2025,12,UPI,3536.49,SUCCESS
185,10,2025-12-25,2025,12,CARD,2170.97,SUCCESS
186,10,2025-12-06,2025,12,UPI,238.8,SUCCESS
187,10,2025-12-28,2025,12,UPI,2156.01,SUCCESS
188,10,2025-10-26,2025,10,CARD,1067.94,SUCCESS
189,10,2025-11-30,2025,11,UPI,3491.17,SUCCESS
190,10,2025-12-01,2025,12,CARD,2657.36,SUCCESS
191,11,2025-11-08,2025,11,CARD,864.12,SUCCESS
192,11,2025-10-23,2025,10,CARD,646.09,SUCCESS
193,11,2026-01-14,2026,1,CARD,2010.59,FAILED
194,11,2025-10-18,2025,10,UPI,2104.63,SUCCESS
195,11,2025-10-23,2025,10,UPI,2252.79,SUCCESS
196,11,2026-01-06,2026,1,UPI,4047.17,SUCCESS
197,11,2025-11-02,2025,11,UPI,1993.95,SUCCESS
198,11,2025-11-15,2025,11,CARD,3322.92,SUCCESS
199,11,2026-01-02,2026,1,CARD,3717.79,SUCCESS
200,11,2025-10-08,2025,10,UPI,1508.48,SUCCESS
201,11,2025-10-11,2025,10,CARD,2196.16,SUCCESS
202,11,2025-10-05,2025,10,CARD,4804.12,FAILED
203,11,2025-12-07,2025,12,UPI,3937.48,SUCCESS
204,11,2025-11-20,2025,11,CARD,3968.02,SUCCESS
205,11,2025-11-30,2025,11,UPI,1371.98,SUCCESS
206,11,2025-12-27,2025,12,UPI,2463.72,SUCCESS
207,11,2026-01-13,2026,1,CARD,1644.33,FAILED
208,11,2025-11-16,2025,11,UPI,3806.4,SUCCESS
209,11,2026-01-25,2026,1,UPI,2854.23,SUCCESS
210,11,2025-10-19,2025,10,UPI,2839.97,FAILED
211,11,2025-11-24,2025,11,CARD,2560.21,SUCCESS
212,11,2025-12-20,2025,12,CARD,1701.01,SUCCESS
213,11,2025-10-23,2025,10,UPI,1014.56,SUCCESS
214,11,2025-11-21,2025,11,CARD,1370.22,SUCCESS
215,11,2025-11-11,2025,11,UPI,4103.13,SUCCESS
216,11,2025-10-20,2025,10,UPI,2233.86,SUCCESS
217,12,2026-01-19,2026,1,UPI,1290.72,SUCCESS
218,12,2025-12-21,2025,12,CARD,4704.25,SUCCESS
219,12,2025-10-23,2025,10,UPI,1490.99,FAILED
220,12,2025-11-03,2025,11,CARD,2632.82,SUCCESS
221,12,2026-01-27,2026,1,UPI,952.11,SUCCESS
222,12,2025-12-20,2025,12,CARD,2811.43,SUCCESS
223,12,2025-12-14,2025,12,UPI,2639.0,SUCCESS
224,12,2026-01-23,2026,1,UPI,2413.7,SUCCESS
225,12,2025-12-17,2025,12,UPI,4062.07,SUCCESS
226,12,2025-10-16,2025,10,CARD,4868.17,SUCCESS
227,12,2025-12-28,2025,12,CARD,2813.46,SUCCESS
228,12,2025-10-30,2025,10,CARD,3785.13,SUCCESS
229,12,2025-10-25,2025,10,CARD,917.15,SUCCESS
230,12,2025-11-09,2025,11,CARD,1025.05,SUCCESS
231,12,2025-11-27,2025,11,CARD,390.0,SUCCESS
232,12,2025-10-03,2025,10,CARD,2279.52,SUCCESS
233,12,2026-01-17,2026,1,UPI,4716.79,SUCCESS
234,12,2026-01-29,2026,1,UPI,3642.83,SUCCESS
235,12,2026-01-10,2026,1,UPI,4551.9,SUCCESS
236,12,2025-12-20,2025,12,UPI,1648.57,SUCCESS
237,12,2025-10-28,2025,10,UPI,2985.64,SUCCESS
238,12,2025-12-13,2025,12,UPI,1258.58,FAILED
239,12,2025-11-07,2025,11,CARD,690.64,SUCCESS
240,12,2025-11-24,2025,11,CARD,3628.12,SUCCESS
241,12,2025-11-26,2025,11,CARD,757.79,SUCCESS
242,12,2025-10-15,2025,10,UPI,3039.97,SUCCESS
243,13,2025-12-16,2025,12,UPI,270.74,SUCCESS
244,13,2025-12-11,2025,12,UPI,3455.86,FAILED
245,13,2025-12-22,2025,12,CARD,1576.99,SUCCESS
246,13,2025-12-03,2025,12,UPI,1183.55,FAILED
247,13,2025-11-15,2025,11,CARD,1603.99,SUCCESS
248,13,2025-10-20,2025,10,UPI,839.56,SUCCESS
249,13,2025-12-12,2025,12,UPI,4153.27,SUCCESS
250,13,2025-10-30,2025,10,CARD,2440.76,SUCCESS
251,13,2025-12-14,2025,12,UPI,691.91,SUCCESS
252,13,2025-12-03,2025,12,CARD,822.05,SUCCESS
253,13,2025-12-25,2025,12,UPI,2338.82,SUCCESS
254,13,2025-10-22,2025,10,CARD,306.25,SUCCESS
255,13,2025-12-17,2025,12,CARD,191.56,SUCCESS
256,13,2025-12-22,2025,12,CARD,651.7,SUCCESS
257,13,2025-11-20,2025,11,UPI,2515.21,SUCCESS
258,13,2025-12-01,2025,12,UPI,1096.81,SUCCESS
259,13,2026-01-18,2026,1,CARD,2994.61,SUCCESS
260,13,2025-12-31,2025,12,UPI,2374.52,SUCCESS
261,13,2025-12-02,2025,12,UPI,1961.94,SUCCESS
262,13,2025-11-13,2025,11,UPI,3396.76,SUCCESS
263,13,2026-01-29,2026,1,CARD,1879.75,SUCCESS
264,13,2025-10-30,2025,10,CARD,4955.67,SUCCESS
265,13,2025-12-21,2025,12,CARD,855.54,SUCCESS
266,13,2025-12-01,2025,12,UPI,4570.05,FAILED
267,13,2025-11-25,2025,11,CARD,331.53,SUCCESS
268,13,2025-11-22,2025,11,CARD,3411.66,FAILED
269,13,2026-01-22,2026,1,CARD,851.04,SUCCESS
270,13,2025-10-12,2025,10,CARD,1402.35,FAILED
271,13,2025-10-10,2025,10,CARD,1762.93,SUCCESS
272,14,2025-10-26,2025,10,CARD,3748.77,FAILED
273,14,2025-10-06,2025,10,CARD,2956.09,SUCCESS
274,14,2025-11-01,2025,11,CARD,1164.86,SUCCESS
275,14,2025-11-06,2025,11,UPI,579.67,SUCCESS
276,14,2025-10-11,2025,10,CARD,2165.75,SUCCESS
277,14,2025-12-23,2025,12,CARD,4480.52,FAILED
278,14,2025-12-20,2025,12,UPI,1411.71,SUCCESS
279,14,2025-12-20,2025,12,UPI,4458.1,SUCCESS
280,14,2025-12-04,2025,12,UPI,1765.42,SUCCESS
281,14,2025-12-27,2025,12,UPI,2832.78,SUCCESS
282,14,2025-12-21,2025,12,UPI,1682.87,SUCCESS
283,14,2025-10-10,2025,10,CARD,4759.2,SUCCESS
284,14,2026-01-21,2026,1,CARD,584.82,SUCCESS
285,14,2025-11-08,2025,11,CARD,1216.55,SUCCESS
286,14,2025-11-30,2025,11,UPI,1332.99,SUCCESS
287,14,2025-12-13,2025,12,UPI,2574.86,SUCCESS
288,14,2026-01-15,2026,1,UPI,2140.29,SUCCESS
289,15,2025-10-05,2025,10,CARD,3954.81,SUCCESS
290,15,2026-01-15,2026,1,UPI,3368.86,FAILED
291,15,2026-01-17,2026,1,UPI,1721.36,SUCCESS
292,15,2025-11-07,2025,11,UPI,2560.54,SUCCESS
293,15,2025-11-11,2025,11,UPI,4207.68,SUCCESS
294,15,2025-12-20,2025,12,CARD,629.38,SUCCESS
295,15,2026-01-20,2026,1,CARD,1606.27,SUCCESS
296,15,2025-12-07,2025,12,UPI,951.45,SUCCESS
297,15,2025-12-07,2025,12,CARD,4257.71,SUCCESS
298,15,2025-11-22,2025,11,UPI,4713.69,SUCCESS
299,15,2026-01-01,2026,1,CARD,2732.47,SUCCESS
300,15,2025-11-02,2025,11,CARD,1678.38,SUCCESS
301,15,2025-12-24,2025,12,CARD,3980.46,FAILED
302,15,2025-12-04,2025,12,CARD,3628.69,SUCCESS
303,15,2025-12-20,2025,12,CARD,1410.22,SUCCESS
304,15,2026-01-26,2026,1,UPI,4898.08,SUCCESS
305,15,2025-11-08,2025,11,UPI,199.95,SUCCESS
306,15,2025-12-09,2025,12,UPI,3995.15,FAILED
307,15,2025-11-25,2025,11,UPI,4135.9,SUCCESS
308,15,2025-10-04,2025,10,UPI,4067.2,SUCCESS
309,16,2025-12-01,2025,12,CARD,799.91,SUCCESS
310,16,2025-11-13,2025,11,CARD,1660.49,SUCCESS
311,16,2025-12-05,2025,12,CARD,333.05,SUCCESS
312,16,2026-01-02,2026,1,UPI,4227.68,SUCCESS
313,16,2025-11-26,2025,11,UPI,4154.06,SUCCESS
314,16,2025-11-24,2025,11,CARD,1197.65,SUCCESS
315,16,2026-01-25,2026,1,UPI,4440.06,SUCCESS
316,16,2025-10-18,2025,10,CARD,4129.89,SUCCESS
317,16,2025-10-16,2025,10,CARD,2826.23,SUCCESS
318,16,2025-10-03,2025,10,UPI,930.34,SUCCESS
319,16,2026-01-15,2026,1,CARD,2668.91,SUCCESS
320,16,2025-10-18,2025,10,CARD,2614.94,SUCCESS
321,16,2026-01-26,2026,1,CARD,1412.41,SUCCESS
322,16,2026-01-02,2026,1,CARD,3920.78,SUCCESS
323,16,2025-10-06,2025,10,CARD,669.86,SUCCESS
324,16,2026-01-22,2026,1,CARD,608.74,SUCCESS
325,16,2025-10-21,2025,10,UPI,89.55,SUCCESS
326,16,2025-11-18,2025,11,UPI,4012.71,SUCCESS
327,16,2025-11-17,2025,11,UPI,4375.59,SUCCESS
328,16,2025-11-22,2025,11,UPI,424.73,SUCCESS
329,16,2025-11-10,2025,11,UPI,4513.71,SUCCESS
330,16,2025-12-28,2025,12,UPI,4744.86,SUCCESS
331,16,2025-11-08,2025,11,UPI,136.68,SUCCESS
332,16,2025-10-17,2025,10,UPI,4036.17,SUCCESS
333,16,2026-01-12,2026,1,CARD,3689.08,SUCCESS
334,16,2025-12-25,2025,12,UPI,4505.88,SUCCESS
335,16,2025-12-07,2025,12,CARD,3106.52,SUCCESS
336,17,2025-11-21,2025,11,UPI,1037.86,SUCCESS
337,17,2025-11-28,2025,11,CARD,3595.2,SUCCESS
338,17,2025-11-05,2025,11,UPI,440.21,SUCCESS
339,17,2025-12-30,2025,12,UPI,4918.55,SUCCESS
340,17,2025-10-14,2025,10,CARD,4797.25,SUCCESS
341,17,2025-10-08,2025,10,CARD,3527.72,SUCCESS
342,17,2026-01-13,2026,1,CARD,3774.32,SUCCESS
343,17,2025-12-29,2025,12,UPI,505.38,SUCCESS
344,17,2025-11-20,2025,11,CARD,860.7,SUCCESS
345,17,2025-11-19,2025,11,UPI,4232.37,SUCCESS
346,17,2025-11-13,2025,11,CARD,3287.55,FAILED
347,17,2026-01-12,2026,1,UPI,965.49,SUCCESS
348,17,2025-12-02,2025,12,CARD,3484.72,SUCCESS
349,17,2025-10-16,2025,10,UPI,2022.2,SUCCESS
350,17,2025-12-30,2025,12,CARD,1796.01,SUCCESS
351,17,2025-12-27,2025,12,UPI,3161.96,SUCCESS
352,17,2025-10-19,2025,10,UPI,4381.82,SUCCESS
353,17,2025-10-19,2025,10,UPI,1514.4,FAILED
354,17,2025-12-21,2025,12,CARD,981.0,SUCCESS
355,17,2025-10-13,2025,10,UPI,177.1,SUCCESS
356,17,2025-10-15,2025,10,CARD,1302.14,SUCCESS
357,17,2025-12-25,2025,12,CARD,349.14,SUCCESS
358,17,2025-12-20,2025,12,CARD,4367.39,SUCCESS
359,17,2026-01-19,2026,1,CARD,2749.54,SUCCESS
360,17,2025-12-29,2025,12,UPI,3950.47,SUCCESS
361,17,2025-11-21,2025,11,CARD,872.61,FAILED
362,17,2025-10-03,2025,10,UPI,2444.92,SUCCESS
363,17,2025-10-28,2025,10,UPI,2316.18,SUCCESS
364,17,2025-10-29,2025,10,CARD,3012.29,SUCCESS
365,17,2025-10-26,2025,10,CARD,2114.2,FAILED
366,18,2026-01-29,2026,1,CARD,4474.4,SUCCESS
367,18,2025-12-01,2025,12,CARD,4833.44,SUCCESS
368,18,2025-11-29,2025,11,UPI,560.21,SUCCESS
369,18,2025-10-31,2025,10,UPI,3509.96,SUCCESS
370,18,2025-10-25,2025,10,CARD,4931.91,FAILED
371,18,2025-11-30,2025,11,UPI,3343.3,SUCCESS
372,18,2026-01-02,2026,1,UPI,871.7,SUCCESS
373,18,2025-10-10,2025,10,CARD,1012.16,FAILED
374,18,2025-12-03,2025,12,CARD,1801.12,SUCCESS
375,18,2025-12-03,2025,12,UPI,922.73,SUCCESS
376,18,2025-12-26,2025,12,UPI,4614.79,SUCCESS
377,18,2025-12-03,2025,12,UPI,4039.85,SUCCESS
378,18,2025-11-22,2025,11,UPI,4488.63,SUCCESS
379,18,2025-12-18,2025,12,UPI,2416.51,SUCCESS
380,18,2026-01-01,2026,1,UPI,2919.02,SUCCESS
381,18,2025-10-12,2025,10,CARD,3697.87,SUCCESS
382,18,2026-01-02,2026,1,CARD,2082.71,FAILED
383,18,2025-11-19,2025,11,UPI,4078.8,SUCCESS
384,18,2025-11-26,2025,11,UPI,138.12,SUCCESS
385,19,2025-11-22,2025,11,CARD,3646.08,SUCCESS
386,19,2025-12-15,2025,12,CARD,3606.01,SUCCESS
387,19,2025-11-05,2025,11,CARD,651.94,SUCCESS
388,19,2025-12-26,2025,12,CARD,2123.87,SUCCESS
389,19,2025-11-16,2025,11,UPI,2373.47,FAILED
390,19,2025-12-03,2025,12,CARD,1166.37,SUCCESS
391,19,2025-11-01,2025,11,CARD,3510.02,SUCCESS
392,19,2025-12-24,2025,12,CARD,3137.12,SUCCESS
393,19,2026-01-28,2026,1,CARD,2011.64,SUCCESS
394,19,2025-10-10,2025,10,UPI,3463.58,SUCCESS
395,20,2025-10-05,2025,10,UPI,1331.97,SUCCESS
396,20,2025-12-22,2025,12,UPI,63.89,SUCCESS
397,20,2025-11-13,2025,11,UPI,2104.28,SUCCESS
398,20,2025-12-26,2025,12,UPI,2659.22,SUCCESS
399,20,2025-12-22,2025,12,CARD,957.5,SUCCESS
400,20,2025-12-03,2025,12,CARD,829.94,SUCCESS
401,20,2025-11-15,2025,11,UPI,2139.73,SUCCESS
402,20,2026-01-02,2026,1,CARD,3176.2,SUCCESS
403,20,2026-01-18,2026,1,UPI,2350.72,SUCCESS
404,20,2025-10-28,2025,10,UPI,1696.72,SUCCESS
405,20,2025-10-13,2025,10,UPI,1967.79,SUCCESS
406,20,2026-01-01,2026,1,UPI,4734.82,SUCCESS
407,20,2026-01-08,2026,1,CARD,1056.2,SUCCESS
408,20,2025-10-13,2025,10,UPI,630.17,SUCCESS
409,20,2025-12-08,2025,12,CARD,1749.57,FAILED
410,20,2026-01-07,2026,1,CARD,3232.09,SUCCESS
411,20,2025-12-16,2025,12,UPI,1151.9,SUCCESS
412,20,2026-01-09,2026,1,UPI,2864.71,SUCCESS
413,20,2026-01-21,2026,1,UPI,4561.49,SUCCESS
414,20,2025-10-25,2025,10,CARD,655.56,SUCCESS
415,20,2025-12-20,2025,12,CARD,1608.94,SUCCESS
416,20,2025-10-31,2025,10,CARD,2659.89,SUCCESS
417,21,2025-11-12,2025,11,CARD,4523.67,FAILED
418,21,2025-12-19,2025,12,CARD,3270.21,SUCCESS
419,21,2025-12-19,2025,12,UPI,2112.78,FAILED
420,21,2025-10-10,2025,10,UPI,562.95,FAILED
421,21,2025-12-16,2025,12,UPI,3175.34,SUCCESS
422,21,2025-11-09,2025,11,UPI,1600.17,SUCCESS
423,21,2025-10-21,2025,10,CARD,3821.41,SUCCESS
424,21,2025-12-03,2025,12,CARD,4730.75,SUCCESS
425,21,2025-10-19,2025,10,CARD,91.29,FAILED
426,21,2025-10-12,2025,10,UPI,3052.98,SUCCESS
427,21,2025-11-20,2025,11,CARD,1646.44,SUCCESS
428,21,2026-01-10,2026,1,CARD,1264.6,SUCCESS
429,22,2025-11-24,2025,11,UPI,4415.06,SUCCESS
430,22,2025-12-17,2025,12,UPI,4032.33,SUCCESS
431,22,2025-12-02,2025,12,CARD,2905.13,SUCCESS
432,22,2025-10-17,2025,10,CARD,1069.26,SUCCESS
433,22,2025-11-30,2025,11,CARD,649.48,SUCCESS
434,22,2025-12-23,2025,12,CARD,3554.76,SUCCESS
435,22,2025-11-18,2025,11,CARD,2400.36,SUCCESS
436,22,2025-12-04,2025,12,CARD,61.53,SUCCESS
437,22,2025-12-08,2025,12,UPI,1447.29,FAILED
438,22,2025-11-12,2025,11,CARD,4290.73,SUCCESS
439,22,2025-11-30,2025,11,CARD,1385.24,SUCCESS
440,22,2026-01-08,2026,1,CARD,3776.72,SUCCESS
441,22,2026-01-26,2026,1,CARD,192.81,SUCCESS
